Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
Olympia Part One: Festival of the Nations,1938,Not Rated,Mar,111,"Documentary, Sport",Leni Riefenstahl,"David Albritton, Arvo Askola, Jack Beresford, Erwin Blask",The document of the 1936 Olympics at Berlin.,"German, English, Italian, French, Japanese, Portuguese",Germany,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",7.8,4091,tt0030522,N/A,Tobis Filmkunst
Destry Rides Again,1939,Approved,Dec,95,"Comedy, Western",George Marshall,"Marlene Dietrich, James Stewart, Mischa Auer, Charles Winninger","Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy.","English, Russian",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",7.7,9948,tt0031225,N/A,Universal Pictures
Gone with the Wind,1939,Passed,Jan,238,"Drama, History, Romance, War","Victor Fleming, George Cukor, Sam Wood","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,English,USA,Won 8 Oscars. Another 12 wins & 12 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",8.1,286287,tt0031381,N/A,Selznick International Pictures
Gunga Din,1939,Approved,Feb,117,"Adventure, Comedy, War",George Stevens,"Cary Grant, Victor McLaglen, Douglas Fairbanks Jr., Sam Jaffe","In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land.",English,USA,Nominated for 1 Oscar. Another 1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",7.3,10814,tt0031398,N/A,RKO Radio Pictures Inc.
Le Jour Se Leve,1939,Not Rated,Jul,93,"Crime, Drama, Romance, Thriller",Marcel Carné,"Jean Gabin, Jules Berry, Arletty, Mady Berry","After committing a murder, a man locks himself in his apartment and recollects the events that led him to the killing.",French,France,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",7.7,6282,tt0031514,N/A,"Silent Night GbR, Sigma"
Mr. Smith Goes to Washington,1939,Passed,Oct,129,"Comedy, Drama",Frank Capra,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",English,USA,Won 1 Oscar. Another 5 wins & 16 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",8.1,105593,tt0031679,N/A,N/A
Ninotchka,1939,Not Rated,Nov,110,"Comedy, Romance",Ernst Lubitsch,"Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi",A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,"English, Russian",USA,Nominated for 4 Oscars. Another 5 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.9,18702,tt0031725,N/A,"Metro Goldwyn Mayer, Loew&#39;s Inc."
Only Angels Have Wings,1939,Passed,May,121,"Adventure, Drama, Romance",Howard Hawks,"Cary Grant, Jean Arthur, Richard Barthelmess, Rita Hayworth","At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract.","English, Spanish",USA,Nominated for 2 Oscars. Another 1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",7.7,12167,tt0031762,N/A,Columbia Pictures Corporation
The Rules of the Game,1939,Not Rated,Apr,110,"Comedy, Drama",Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","French, German, English",France,4 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",8,26399,tt0031885,N/A,Nouvelles Éditions de Films (NEF)
Stagecoach,1939,Passed,Mar,96,"Adventure, Drama, Western",John Ford,"Claire Trevor, John Wayne, Andy Devine, John Carradine",A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,"English, Spanish, French",USA,Won 2 Oscars. Another 6 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",7.8,42614,tt0031971,N/A,"Walter Wanger Productions, Inc."
